EXP,LAT,LON,NAME,CLUSTER
C1,-2.5952105,-60.2079228,Litter Trap,1
C2,-2.5952698,-60.2079226,Litter Trap,2
C3,-2.5952828,-60.2079853,Litter Trap,3
C4,-2.5952383,-60.2080219,Litter Trap,4
C5,-2.5952096,-60.2079914,Litter Trap,5
C6,-2.5962303,-60.2075876,Litter Trap,6
C7,-2.5962714,-60.2076251,Litter Trap,7
C8,-2.596253,-60.2076734,Litter Trap,8
C9,-2.5961796,-60.2076757,Litter Trap,9
C10,-2.5961858,-60.2076018,Litter Trap,10
C11,-2.5968372,-60.2075162,Litter Trap,11
C12,-2.5968941,-60.2075566,Litter Trap,12
C13,-2.5968872,-60.2076052,Litter Trap,13
C14,-2.5968275,-60.2076025,Litter Trap,14
C15,-2.5967855,-60.2075608,Litter Trap,15
C16,-2.5982061,-60.2070265,Litter Trap,16
C17,-2.5982546,-60.2070942,Litter Trap,17
C18,-2.5982192,-60.207155,Litter Trap,18
C19,-2.5981681,-60.2071241,Litter Trap,19
C20,-2.598162,-60.2070754,Litter Trap,20
C21,-2.595834,-60.2066012,Litter Trap,21
C22,-2.5959085,-60.2066394,Litter Trap,22
C23,-2.5958822,-60.2066967,Litter Trap,23
C24,-2.5958596,-60.2067282,Litter Trap,24
C25,-2.5958026,-60.2066671,Litter Trap,25
C26,-2.5977569,-60.2070698,Litter Trap,26
C27,-2.5978178,-60.2070774,Litter Trap,27
C28,-2.5978244,-60.2071419,Litter Trap,28
C29,-2.5977566,-60.2071789,Litter Trap,29
C30,-2.5977142,-60.2071509,Litter Trap,30
SR1,-2.5952037,-60.2079258,Soil Respiration,1
SR2,-2.5952733,-60.2079065,Soil Respiration,2
SR3,-2.5952815,-60.2080208,Soil Respiration,3
SR4,-2.595231,-60.2080367,Soil Respiration,4
SR5,-2.5952058,-60.2079747,Soil Respiration,5
SR6,-2.5962159,-60.2075813,Soil Respiration,6
SR7,-2.5962561,-60.2075934,Soil Respiration,7
SR8,-2.5962355,-60.2076768,Soil Respiration,8
SR9,-2.5962136,-60.2076845,Soil Respiration,9
SR10,-2.5962023,-60.2076316,Soil Respiration,10
SR11,-2.5968584,-60.2075176,Soil Respiration,11
SR12,-2.5968826,-60.2075679,Soil Respiration,12
SR13,-2.5969047,-60.2076005,Soil Respiration,13
SR14,-2.5968254,-60.2076196,Soil Respiration,14
SR15,-2.5967862,-60.2075414,Soil Respiration,15
SR16,-2.5982336,-60.2070535,Soil Respiration,16
SR17,-2.5982522,-60.2071107,Soil Respiration,17
SR18,-2.5982443,-60.2071278,Soil Respiration,18
SR19,-2.5981606,-60.2071414,Soil Respiration,19
SR20,-2.5981448,-60.2070617,Soil Respiration,20
SR21,-2.5958604,-60.2066285,Soil Respiration,21
SR22,-2.5959135,-60.2066538,Soil Respiration,22
SR23,-2.5958847,-60.2066839,Soil Respiration,23
SR24,-2.5958622,-60.2067133,Soil Respiration,24
SR25,-2.5958174,-60.2066633,Soil Respiration,25
SR26,-2.5977829,-60.2070622,Soil Respiration,26
SR27,-2.597837,-60.2071022,Soil Respiration,27
SR28,-2.5978444,-60.2071462,Soil Respiration,28
SR29,-2.5977689,-60.2071561,Soil Respiration,29
SR30,-2.5977318,-60.2071361,Soil Respiration,30
S1M1,-2.5952126,-60.2079135,Soil 1 m²,1
S1M2,-2.5952685,-60.2078922,Soil 1 m²,2
S1M3,-2.5953039,-60.2079788,Soil 1 m²,3
S1M4,-2.5952142,-60.2080276,Soil 1 m²,4
S1M5,-2.5951878,-60.2079814,Soil 1 m²,5
S1M6,-2.5962662,-60.2075834,Soil 1 m²,6
S1M7,-2.5962793,-60.2076366,Soil 1 m²,7
S1M8,-2.5962313,-60.2077018,Soil 1 m²,8
S1M9,-2.5961939,-60.2076926,Soil 1 m²,9
S1M10,-2.5961896,-60.2076223,Soil 1 m²,10
S1M11,-2.5968274,-60.2075161,Soil 1 m²,11
S1M12,-2.596895,-60.2075701,Soil 1 m²,12
S1M13,-2.5968823,-60.2075972,Soil 1 m²,13
S1M14,-2.596808,-60.2076119,Soil 1 m²,14
S1M15,-2.5967838,-60.2075491,Soil 1 m²,15
S1M16,-2.5982433,-60.2070231,Soil 1 m²,16
S1M17,-2.5982701,-60.207103,Soil 1 m²,17
S1M18,-2.5982003,-60.2071532,Soil 1 m²,18
S1M19,-2.5981526,-60.2071258,Soil 1 m²,19
S1M20,-2.5981532,-60.207045,Soil 1 m²,20
S1M21,-2.5958286,-60.2065896,Soil 1 m²,21
S1M22,-2.5959041,-60.2066293,Soil 1 m²,22
S1M23,-2.5958965,-60.2067017,Soil 1 m²,23
S1M24,-2.5958421,-60.2067187,Soil 1 m²,24
S1M25,-2.595802,-60.2066556,Soil 1 m²,25
S1M26,-2.5977711,-60.2070562,Soil 1 m²,26
S1M27,-2.597834,-60.2070703,Soil 1 m²,27
S1M28,-2.5978325,-60.2071648,Soil 1 m²,28
S1M29,-2.5977545,-60.2071673,Soil 1 m²,29
S1M30,-2.5977119,-60.2071392,Soil 1 m²,30
COD1,-2.5952316,-60.2079481,COD,
COD2,-2.5962323,-60.2076271,COD,
COD3,-2.5968282,-60.2075846,COD,
COD4,-2.5982061,-60.2070736,COD,
COD6,-2.5958687,-60.206655,COD,
COD7,-2.5978026,-60.2071111,COD,
