IND,LAT,LON,DBH_2022,HEIGHT,SOIL_RESP,Family,Genus,Species
1001,-2.5951942,-60.2079441,201,19.76,,Sapotaceae,Pouteria,erythrochrysa
1003,-2.5951839,-60.2079219,96,,,Euphorbiaceae,Mabea,angularis
1004,-2.5951293,-60.2079058,83,,,Euphorbiaceae,Mabea,angularis
1009,-2.5951648,-60.2078933,158,23.98,,Lecythidaceae,Eschweilera,micrantha
1012,-2.5952397,-60.2079324,326,31.92,1,Chrysobalanaceae,Licania,coriacea
1016,-2.5951988,-60.2078828,146,14.99,,Lauraceae,Licaria,hirsuta
1017,-2.5951988,-60.2078478,209,20.5,,Sapotaceae,Pouteria,vernicosa
1019,-2.5952445,-60.2078855,218,10.75,,Fabaceae,Swartzia,reticulata
1020,-2.5952451,-60.2078638,400,25.3,1,Chrysobalanaceae,Licania,sandwithii 
1021,-2.5952497,-60.207865,153,19.52,,Annonaceae,Unonopsis,guatterioides
1023,-2.5952644,-60.2079346,337,24.11,1,Malpighiaceae,Pterandra,arborea
1025,-2.5952828,-60.2078991,142,15.95,,Euphorbiaceae,Dodecastigma,amazonicum
1028,-2.595288,-60.2078538,270,23.23,1,Burseraceae,Protium,rubrum
1032,-2.5953043,-60.2078963,138,17.98,,Burseraceae,Protium ,hebetatum
1033,-2.5953406,-60.2078603,262,,,Putranjivaceae,Drypetes,variabilis
1034,-2.5952993,-60.2079209,353,19.06,1,Chrysobalanaceae,Parinari,excelsa
1036,-2.5953248,-60.2079205,113,19.69,,Elaeocarpaceae,Sloanea,brevipes
1040,-2.5953528,-60.2079347,216,23.78,1,Malvaceae,Scleronema,micrantha
1041,-2.5953536,-60.2079413,280,26.49,1,Euphorbiaceae,Hevea,guianensis
1045,-2.595371,-60.2079609,153,19.82,,Euphorbiaceae,Mabea,angularis
1048,-2.5953111,-60.2079863,324,24.48,1,Lecythidaceae,Eschweilera,pseudocolorans
1049,-2.5953439,-60.2080139,103,19.95,,Rubiaceae,Amaioua,glomerulata
1052,-2.5952992,-60.2079978,123,17.96,,Euphorbiaceae,Micrandropsis,scleroxylon
1056,-2.5952751,-60.2080794,321,,1,Sapotaceae,Pouteria,cuspidata
1057,-2.595267,-60.2080353,199,,,Fabaceae,Elizabetha,bicolor
1060,-2.5952464,-60.2080773,281,,1,Sapotaceae,Pouteria,bilocularis
1062,-2.5952421,-60.2080609,74,,,Chrysobalanaceae,Licania,heteromorpha
1063,-2.5952353,-60.2080621,116,,,Sapotaceae,Pouteria ,anomala
1064,-2.5952388,-60.2080367,102,,,Euphorbiaceae,Mabea,angularis
1065,-2.595254,-60.2079744,291,22.77,1,Euphorbiaceae,Hevea,guianensis
1105,-2.5951897,-60.207952,47,,,Elaeocarpaceae,Sloanea,sinemariensis
1106,-2.5952025,-60.2079478,42,7.35,,Erythroxylaceae,Erythroxylum,amplum
1107,-2.5952052,-60.2079449,41,5.68,,Violaceae,Paypayrola,grandiflora
1108,-2.5952241,-60.2079467,34,3.84,,Fabaceae,Swartzia,arborescens
1110,-2.595248,-60.207958,27,5.64,,Moraceae,Sorocea,muriculata
1111,-2.5952499,-60.2079488,47,8.99,,Elaeocarpaceae,Sloanea,fragrans
1112,-2.5952409,-60.2079482,70,13.8,,Euphorbiaceae,Mabea,angularis
1113,-2.5952415,-60.2079418,33,8.93,,Burseraceae,Protium,ferrugineum
1114,-2.5952372,-60.2079339,43,11.08,,Lecythidaceae,Couratari,stellata
1115,-2.5952444,-60.2079436,23,,,Lecythidaceae,Eschweilera,pedicellata
1117,-2.5952452,-60.2079305,24,4.07,,Sapotaceae,Pouteria,retinervis
1118,-2.5952388,-60.2079606,65,12.16,,Lecythidaceae,Eschweilera,coriacea
1119,-2.5952163,-60.2079242,91,,,Sapotaceae,Pouteria,caimito
1121,-2.5952126,-60.207931,55,,,Lecythidaceae,Eschweilera,collina
1122,-2.5952035,-60.2079142,53,,,Burseraceae,Dacryodes,cuspidata
1123,-2.5951995,-60.207916,33,,,Myrtaceae,Eugenia,cupulata
1125,-2.5951926,-60.2079024,30,5.65,,Myristicaceae,Irynathera,sp
1128,-2.5951802,-60.2079344,34,,,Malpighiaceae,Pterandra,arborea
1131,-2.595165,-60.2079176,26,,,Chrysobalanaceae,Licania,micrantha
1132,-2.5951594,-60.2079145,25,,,Erythroxylaceae,Erythroxylum,amplum
1133,-2.5951507,-60.2079116,20,,,Fabaceae,Inga,obidensis
1134,-2.5951425,-60.2079002,44,,,Siparunaceae,Siparuna,cuspidata
1135,-2.5951364,-60.2079106,22,,,Annonaceae,Duguetia,flagellaris
1136,-2.5951335,-60.2079054,62,,,Lauraceae,Licaria,macrophylla
1137,-2.5951293,-60.2079058,25,,,Sapotaceae,Micropholis,mensalis
1139,-2.5951617,-60.2078896,40,7.48,,Lecythidaceae,Eschweilera,grandiflora
1140,-2.5951654,-60.2078876,80,,,Euphorbiaceae,Mabea,speciosa
1141,-2.5951661,-60.2078791,49,,,Violaceae,Papayrola,grandifolia
1143,-2.5951792,-60.2078791,41,3.85,,Rubiaceae,Ladenbergia,sp
1148,-2.5951822,-60.2079181,24,5.59,,Fabaceae,Inga,obidensis
1149,-2.5952147,-60.2078809,35,,,Annonaceae,Duguetia,flagellaris
1150,-2.5952092,-60.2078855,37,,,Euphorbiaceae,Mabea,angularis
1152,-2.5952098,-60.2079019,59,,,Malvaceae,Pachira,macrocalyx
1153,-2.5952326,-60.207888,24,,,Melastomataceae,Henriettea,caudata
1155,-2.5952372,-60.2078662,37,,,Lecythidaceae,Eschweilera,coriacea
1156,-2.5952419,-60.2078693,21,,,Annonaceae,Duguetia,flagellaris
1157,-2.5952572,-60.2078566,34,,,Lecythidaceae,Eschweilera,pedicellata
1158,-2.5952709,-60.2078656,47,,,Burseraceae,Protium,hebetatum
1159,-2.5952728,-60.2078642,74,,,Annonaceae,Unonopsis,guatterioides
1160,-2.5952707,-60.2078546,72,,,Moraceae,Maquira,sclerophylla
1161,-2.5952975,-60.2078495,95,,,Lecythidaceae,Couratari,stellata
1162,-2.5952881,-60.2078683,26,,,Violaceae,Rinorea,guianensis
1163,-2.5952861,-60.2078752,26,,,Celastraceae,Peritassa,laevigata
1164,-2.5952817,-60.2078833,22,,,Rubiaceae,Margaritopsis,podocephala
1165,-2.5952795,-60.2078853,26,,,Lecythidaceae,Eschweilera,collina
1166,-2.5952698,-60.2079123,45,,,Lecythidaceae,Eschweilera,truncata
1167,-2.5953007,-60.2078797,55,,,Lecythidaceae,Eschweilera,truncata
1168,-2.5953064,-60.2078664,30,,,Violaceae,Amphirrox,sp
1169,-2.5953372,-60.2078812,31,,,,,
1170,-2.5953392,-60.2078805,32,,,Dichapetalaceae,Tapura,guianensis
1171,-2.5953451,-60.2078752,29,,,Humiriaceae,Vantanea,macrocarpa
1172,-2.5953459,-60.2078812,81,,,Lauraceae,Ocotea,nitida
1179,-2.5953762,-60.207934,46,,,Annonaceae,Duguetia,flagellaris
1181,-2.5953491,-60.2079308,24,,,Fabaceae,Zygia,juruana
1182,-2.5953397,-60.2079307,42,,,Lauraceae,Ocotea,pauciflora
1183,-2.5953396,-60.2079406,50,,,Moraceae,Naucleopsis,caloneura
1184,-2.5953313,-60.2079373,41,,,Fabaceae,Bocoa,viridiflora
1185,-2.5953183,-60.207944,68,,,Malvaceae,Theobroma,sylvestris
1186,-2.5953027,-60.2079426,35,,,Sapinaceae,Talisia ,aff copularis
1187,-2.5952937,-60.207934,25,,,Lecythidaceae,Eschweilera,wachenheimii
1188,-2.5952631,-60.207936,28,,,Lecythidaceae,Eschweilera,wachenheimii
1189,-2.5952593,-60.2079266,69,,,Chrysobalanaceae,Couepia,ulei
1190,-2.5952609,-60.2079451,42,8.88,,Fabaceae,Tachigali,micropetala
1191,-2.5952684,-60.2079611,26,4.91,,Burseraceae,Protium,pilosissimum
1193,-2.5952789,-60.2079511,39,,,Chrysobalanaceae,Hirtella,hispidula
1194,-2.595279,-60.207965,42,,,Chrysobalanaceae,Couepia,guianensis
1195,-2.5952908,-60.207965,52,,,Lecythidaceae,Eschweilera,collina
1196,-2.5952958,-60.2079606,96,,,Annonaceae,Ephedranthus,amazonicus
1197,-2.5953019,-60.2079596,24,,,Annonaceae,Duguetia,flagellaris
1199,-2.5953292,-60.2079611,90,,,Myristicaceae,Virola,multinervia
1201,-2.595365,-60.2079528,50,,,Burseraceae,Protium,altsonii
1202,-2.5953646,-60.2079714,33,,,Lauraceae,Ocotea ,nigrescens
1205,-2.5953494,-60.2079815,44,,,Myrtaceae,Eugenia ,sp
1207,-2.5953456,-60.207995,101,,,Lecythidaceae,Eschweilera,pedicellata
1208,-2.595335,-60.2079863,49,,,Chrysobalanaceae,Licania,rodriguesii
1210,-2.5953161,-60.2079829,51,,,Humiriaceae,Humiriastrum,sp
1211,-2.5953022,-60.2079857,33,,,Chrysobalanaceae,Hirtella,sp
1212,-2.5953061,-60.2079999,23,,,Melastomataceae,Mouriri,angulicosta
1213,-2.5953068,-60.2079924,30,,,Burseraceae,Protium,sp.1
1214,-2.5953153,-60.2080041,25,,,Ebenaceae ,Diospyros,guianensis
1215,-2.5953153,-60.2080091,70,,,Euphorbiaceae,Mabea,angularis
1216,-2.595332,-60.2079987,23,,,Dichapetalaceae,Tapura,amazonica
1217,-2.5953465,-60.2080257,48,,,Euphorbiaceae,Mabea,angularis
1220,-2.5953338,-60.2080262,40,,,Fabaceae,Stryphnodendron,pulcherrimum
1221,-2.5953304,-60.2080233,63,,,Burseraceae,Protium,apiculatum
1223,-2.5953017,-60.20800101,56,,,Burseraceae,Protium ,hebetatum
1225,-2.5952841,-60.2080047,34,,,Fabaceae,Tachigali,sp
1226,-2.5952785,-60.2080094,21,,,Fabaceae,Swartzia,recurva
1227,-2.595292,-60.20802,23,,,Bignoniaceae,Adenocalymma,adenophorum
1228,-2.5952972,-60.2080218,19,,,Lecythidaceae,Couratari,stellata
1229,-2.5953002,-60.2080263,28,,,Fabaceae,Andira,parviflora
1230,-2.595304,-60.2080235,63,,,Burseraceae,Protium,decandrum
1231,-2.5953164,-60.2080328,34,,,Fabaceae,Swartzia,sp
1232,-2.5953235,-60.2080397,30,,,Olacacae,Minquartia,guianensis
1235,-2.5953105,-60.208068,85,,,Moraceae,Helianthostylis,sprucei
1236,-2.5953054,-60.2080665,60,,,Euphorbiaceae,Mabea,angularis
1237,-2.5952979,-60.2080521,28,,,Vochysiaceae,Erisma,bicolor
1238,-2.5952914,-60.2080493,37,,,Lecythidaceae,Eschweilera,tessmannii
1239,-2.5952571,-60.207978,59,,,Elaeocarpaceae,Sloanea,fragrans
1240,-2.5952525,-60.2079835,29,,,Euphorbiaceae,Mabea,angularis
1241,-2.5952689,-60.2080482,28,,,Fabaceae,Inga,brachyrhachis
1242,-2.5952594,-60.2080425,30,,,Burseraceae,Protium,nitidifolium
1243,-2.5952505,-60.2080341,41,,,Vochysiaceae,Erisma,bicolor
